Num;version_texte;version_corrigee;version_unifiee;id;type;lieu;ref_agorha;bio
;Corot;Jean-Baptiste Camille Corot;Corot, Jean-Baptiste Camille;jbccorot;artiste;;;
;;;;;;;;
;Manet;Édouard Manet;Manet, Édouard;emanet;artiste;;;
;;;;;;;;
;Paul Delaroche;Paul Delaroche;Delaroche, Paul;pdelaroche;artiste;;;
;;;;;;;;
;Degas;Edgar Degas;Degas, Edgar;edegas;artiste;;;
;;;;;;;;
;Cezanne;Paul Cézanne;Cézanne, Paul;pcezanne;artiste;;;
;;;;;;;;
;Vuillard;Édouard Vuillard;Vuillard, Édouard;evuillard;artiste;;;
;;;;;;;;
;Bonnard;Pierre Bonnard;Bonnard, Pierre;pbonnard;artiste;;;
;;;;;;;;
;Marquet;Albert Marquet;Marquet, Albert;amarquet;artiste;;;
;;;;;;;;
;Picasso;Pablo Picasso;Picasso, Pablo;ppicasso;artiste;;;
;;;;;;;;
;Derain;André Derain;Derain, André;aderain;artiste;;;
;;;;;;;;
;Kahnweiller;Daniel-Henry Kahnweiler;Kahnweiler, Daniel-Henry;dhkahnweiler;marchand;;;
;;;;;;;;
;Segonzac;André Dunoyer de Segonzac;Segonzac, André Dunoyer de;adsegonzac;artiste;;;
;;;;;;;;
;Luc-Albert Moreau;Luc-Albert Moreau;Moreau, Luc Albert;lamoreau;artiste;;;
;L. A. Moreau;Luc-Albert Moreau;Moreau, Luc Albert;lamoreau;artiste;;;
;;;;;;;;
;Marchand;Jean Marchand;Marchand, Jean;jmarchand;artiste;;;
;Jean Marchand;Jean Marchand;Marchand, Jean;jmarchand;artiste;;;
;;;;;;;;
;Iribe;Paul Iribe;Iribe, Paul;piribe;artiste;;;
;;;;;;;;
;Flameng;François Flameng;Flameng, François;fflameng;artiste;;;
;;;;;;;;
;Forain;Jean-Louis Forain;Forain, Jean-Louis;jlforain;artiste;;;
;;;;;;;;
;Sert;José-Maria Sert;Sert, José Maria;jmsert;artiste;;;
;;;;;;;;
;Marcus Vachon;Marius Vachon;Vachon, Marius;mvachon;savant;;;
;;;;;;;;
;Marcel;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;
;P. M.;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;
;Pierre Marcel;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;
;;;;;;;;
;Maspéro;Gaston Maspéro;Maspéro, Gaston;gmaspero;savant;;;
;Maspero;Gaston Maspéro;Maspéro, Gaston;gmaspero;savant;;;
;;;;;;;;
;Devismes;Eugène Devismes;Devismes, Eugène;edevismes;employe;;;
;;;;;;;;
;Bertaux;Émile Bertaux;Bertaux, Émile;ebertaux;savant;;;
;Emile Bertaux;Émile Bertaux;Bertaux, Émile;ebertaux;savant;;;
;;;;;;;;
;Holleau;Maurice Holleaux;Holleaux, Maurice;mholleaux;savant;;;
;Holleaux;Maurice Holleaux;Holleaux, Maurice;mholleaux;savant;;;
;;;;;;;;
;Vuaflart;Albert Vuaflart;Vuaflart, Albert;avuaflart;savant;;;
;Albert Vuaflart;Albert Vuaflart;Vuaflart, Albert;avuaflart;savant;;;
;;;;;;;;
;Bayet;Bayet;Bayet;bayet;savant;;;
;;;;;;;;
;Tafrali;Oreste Tafrali;Tafrali, Oreste;otafrali;employe;;;
;Taffrali;Oreste Tafrali;Tafrali, Oreste;otafrali;employe;;;
;;;;;;;;
;Bartchewski;L. S. Barshevsky;Barshevsky, L. S. ;lsbarshevsky;artiste;;;
;;;;;;;;
;Dufy;Raoul Dufy;Dufy, Raoul;rdufy;artiste;;;
;;;;;;;;
;Rodin;Auguste Rodin;Rodin, Auguste;arodin;artiste;;;
;;;;;;;;
;Groult;Camille Groult;Groult, Camille;cgroult;collectionneur;;;
;;;;;;;;
;Marie Laurencin;Marie Laurencin;Laurencin, Marie;mlaurencin;artiste;;;
;;;;;;;;
;Gide;André Gide;Gide, André;agide;ecrivain;;;
;;;;;;;;
;Piot;René Piot;Piot, René;rpiot;artiste;;;
;;;;;;;;
;Chassinat;Émile Chassinat;Chassinat, Émile;echassinat;savant;;;
;;;;;;;;
;neveu André;André Dubrujeaud;Dubrujeaud, André;adubrujeaud;famille;;;
;neveu André Dubrujeaud;André Dubrujeaud;Dubrujeaud, André;adubrujeaud;famille;;;
;;;;;;;;
;;;;;;;;
;Mutiaux;Eugène Mutiaux;Mutiaux, Eugène;emutiaux;collectionneur;;;
;;;;;;;;
;Gavin;Gavin;Gavin, J.;gavin;artiste;;;
;;;;;;;;
;Clement-Janin;Noël Clément-Janin;Clément-Janin, Noël;nclementjanin;savant;;;
;Clément-Janin;Noël Clément-Janin;Clément-Janin, Noël;nclementjanin;savant;;;
;;;;;;;;
;Roussel;Ker-Xavier Roussel;Roussel, Ker Xavier;kxroussel;artiste;;;
;;;;;;;;
;Hessel;Charles Hessèle;Hessèle, Charles;chessele;editeur;;;
;Hessèle;Charles Hessèle;Hessèle, Charles;chessele;editeur;;;
;;;;;;;;
;Rousseau;Le Douanier Rousseau;Rousseau, dit le Douanier;ldrousseau;artiste;;;
;;;;;;;;
;Georges Hoentschel;Georges Hoentschel;Hoentschel, Georges;ghoentschel;artiste;;;
;Hoentschel;Georges Hoentschel;Hoentschel, Georges;ghoentschel;artiste;;;
;;;;;;;;
;Legrain;Pierre Legrain;Legrain, Pierre;plegrain;artiste;;;
;;;;;;;;
;de Losques;Daniel de Losques;de Losques, Daniel;ddlosques;artiste;;;
;;;;;;;;
;D’Annunzi;Gabriel d’Annunzio;Annunzio, Gabriel d’;gdannunzio;ecrivain;;;
;;;;;;;;
;de Bleves. (Barbazange);Henri-Jean Barbazanges;Barbazanges, Henri-Jean;hjbarbazanges;collectionneur;;;
;;;;;;;;
;Desvallières;Georges Desvallières;Desvallières, Georges;gdesvallieres;artiste;;;
;;;;;;;;
;Nuaud;Paul Nuaud;Nuaud, Paul;pnuaud;famille;;;
;;;;;;;;
;Lepape;Georges Lepape;Lepape, Georges;glepape;artiste;;;
;;;;;;;;
;Deshairs;Léon Deshairs;Deshairs, Léon;ldeshairs;savant;;;
;;;;;;;;
;Lafenestre;Georges Lafenestre;Lafenestre, Georges;glafenestre;collectionneur;;;
;;;;;;;;
;Probsthain;Probsthain;Probsthain;org3;fournisseur;;;
;Probstain;Probsthain;Probsthain;org3;fournisseur;;;
;;;;;;;;
;Vignier;Charles Vignier;Vignier, Charles;cvignier;collectionneur;;;
;;;;;;;;
